epoch,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc_ovr_macro,train_loss,train_accuracy,val_loss,val_accuracy
1,0.260986,0.025938,0.221068,0.040835,0.029159,,4.212582,0.183890,3.687378,0.260942
2,0.339663,0.047921,0.311485,0.075580,0.050269,,3.172374,0.331509,3.138253,0.339685
3,0.447302,0.083320,0.412539,0.121016,0.083434,,2.640485,0.417294,2.477503,0.447411
4,0.494817,0.106421,0.459734,0.144264,0.105760,,2.299650,0.476188,2.231092,0.494796
5,0.536736,0.123673,0.499098,0.168753,0.124377,,2.055059,0.520942,2.034349,0.536693
6,0.539153,0.137039,0.517040,0.178868,0.141142,,1.866572,0.554638,2.054314,0.539132
7,0.536018,0.139870,0.514312,0.180828,0.142230,,1.709858,0.583868,2.046586,0.536018
8,0.595270,0.171643,0.564294,0.220771,0.168154,,1.585881,0.606266,1.742488,0.595205
9,0.593898,0.172779,0.568684,0.216716,0.171040,,1.476696,0.627596,1.751847,0.593985
10,0.590893,0.177155,0.563988,0.220134,0.178619,,1.381498,0.646536,1.756958,0.590893
11,0.610535,0.190561,0.585732,0.230359,0.190495,,1.297516,0.662710,1.661365,0.610535
12,0.605396,0.186738,0.579985,0.237239,0.178603,,1.223979,0.677045,1.729107,0.605505
13,0.614869,0.195584,0.594210,0.239637,0.191287,,1.156248,0.690834,1.700213,0.614716
14,0.598450,0.188950,0.578494,0.228332,0.190415,,1.092421,0.703050,1.774744,0.598319
15,0.620030,0.202553,0.601581,0.234684,0.204466,,1.035774,0.714688,1.664661,0.620269
16,0.606594,0.203084,0.589146,0.237241,0.207416,,0.980944,0.727394,1.719433,0.606507
17,0.618701,0.201541,0.597560,0.245105,0.196575,,0.933204,0.735630,1.750080,0.618854
18,0.612560,0.201476,0.594921,0.243400,0.198901,,0.887963,0.745602,1.805579,0.612517
19,0.615696,0.202191,0.595158,0.238114,0.201637,,0.846585,0.754678,1.800325,0.615609
20,0.619050,0.211195,0.597489,0.253387,0.203590,,0.807801,0.763530,1.858668,0.618984
