image_path,label,display_label,model,variant,top_k,color_correct,score_type,prediction_label,prediction_display_label,top1_correct,topk_correct,error
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=none:top_k=1,1,none,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=none:top_k=5,5,none,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=gray_world:top_k=1,1,gray_world,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=gray_world:top_k=5,5,gray_world,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=max_rgb:top_k=1,1,max_rgb,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,tflite,tflite:color_correct=max_rgb:top_k=5,5,max_rgb,probability,1358095,1358095,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,hog_svm,hog_svm:top_k=1,1,,decision_function,1356257,Melilotus albus Medik.,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358099\0f58f118b1a1795c1f1a0e82f3debf0cea11b14a.jpg,1358099,Sedum brevifolium DC.,hog_svm,hog_svm:top_k=5,5,,decision_function,1356257,Melilotus albus Medik.,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358760\1eb905d5824ecfb9e8cd9b5fd05b17a27378ede7.jpg,1358760,Lavandula multifida L.,tflite,tflite:color_correct=none:top_k=1,1,none,probability,1394420,1394420,False,False,
D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample\images\test\1358760\1eb905d5824ecfb9e8cd9b5fd05b17a27378ede7.jpg,1358760,Lavandula multifida L.,tflite,tflite:color_correct=none:top_k=5,5,none,probability,1394420,1394420,False,True,
