sweep_id,sweep_point_id,varied_parameter,varied_value,top_k,sampling_mode,max_images,max_images_per_class,seed,num_images_evaluated,num_classes,tflite_top1_accuracy,tflite_topk_accuracy,hog_top1_accuracy,hog_topk_accuracy,model_agreement_rate,status,errors
parameter_sweep_20260504_042043_UTC,point_001_top_k_1,top_k,1,1,balanced,100,5,50,100,25,0.25,0.25,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_002_top_k_3,top_k,3,3,balanced,100,5,50,100,25,0.25,0.37,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_003_top_k_5,top_k,5,5,balanced,100,5,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_004_top_k_8,top_k,8,8,balanced,100,5,50,100,25,0.25,0.61,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_005_top_k_10,top_k,10,10,balanced,100,5,50,100,25,0.25,0.64,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_006_sampling_mode_balanced,sampling_mode,balanced,5,balanced,100,5,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_007_sampling_mode_random,sampling_mode,random,5,random,100,5,50,100,25,0.29,0.53,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_008_sampling_mode_sorted,sampling_mode,sorted,5,sorted,100,5,50,100,20,0.24,0.54,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_009_max_images_10,max_images,10,5,balanced,10,5,50,10,10,0.2,0.5,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_010_max_images_25,max_images,25,5,balanced,25,5,50,25,25,0.24,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_011_max_images_50,max_images,50,5,balanced,50,5,50,50,25,0.28,0.58,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_012_max_images_100,max_images,100,5,balanced,100,5,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_013_max_images_200,max_images,200,5,balanced,200,5,50,125,25,0.264,0.512,0.0,0.0,0.008,completed,
parameter_sweep_20260504_042043_UTC,point_014_max_images_per_class_1,max_images_per_class,1,5,balanced,100,1,50,25,25,0.24,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_015_max_images_per_class_2,max_images_per_class,2,5,balanced,100,2,50,50,25,0.28,0.58,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_016_max_images_per_class_5,max_images_per_class,5,5,balanced,100,5,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_017_max_images_per_class_7,max_images_per_class,7,5,balanced,100,7,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_018_max_images_per_class_10,max_images_per_class,10,5,balanced,100,10,50,100,25,0.25,0.51,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_019_seed_7,seed,7,5,balanced,100,5,7,100,25,0.22,0.5,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_020_seed_25,seed,25,5,balanced,100,5,25,100,25,0.2,0.53,0.0,0.0,0.01,completed,
parameter_sweep_20260504_042043_UTC,point_021_seed_42,seed,42,5,balanced,100,5,42,100,25,0.22,0.54,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_022_seed_123,seed,123,5,balanced,100,5,123,100,25,0.21,0.49,0.0,0.0,0.0,completed,
parameter_sweep_20260504_042043_UTC,point_023_seed_200,seed,200,5,balanced,100,5,200,100,25,0.22,0.47,0.0,0.0,0.0,completed,
